job_id,title,location,department,salary_range,company_profile,description,employment_type,required_experience,required_education,industry,function,fraud
1383,Van Foreman / Driver - Class A,"US, IL, East Peoria",Transportation,40000,Federal has been in business for over 100 years and is an original Charter Agent for Allied Van Lines. We believe our drivers are our best asset and offer advancement opportunities.Federal is looking to hire individuals that want to develop a professional skill set and operate in an environment where excellence and safety are recognized. Our drivers average 10+ years on the job and are committed to their communities through service and volunteerism. ,"DRIVER CAREER OPPORTUNITIES Federal is now hiring Class A and Class B drivers in all of our locations (Peoria, Waukegan, Champaign, St. Louis). We offer excellent pay, benefits, newer equipment and the necessary training to help you be successful in your career! Federal has been in business for over 100 years and is an original Charter Agent for Allied Van Lines. We believe our drivers are our best asset and offer advancement opportunities. Federal is looking to hire individuals that want to develop a professional skill set and operate in an environment where excellence and safety are recognized. Our drivers average 10+ years on the job and are committed to their communities through service and volunteerism.",Full-time,Not Applicable,High School or equivalent,Transportation/Trucking/Railroad,Other,0
1385,Dry Dock Forklift Operator - Full Time,"US, CA, Modesto",Dry Dock,26000,"With over 30 years of experience in the industry, Mercer Foods has been providing superior quality freeze dried foods and ingredients to clients around the world for two generations. Our dedication to stringent quality control and complete customer satisfaction are the core of our company tradition, allowing us to provide our clients with the best freeze dried foods on the planet.Here at Mercer Foods, you will find ultra-modern facilities, uncompromising quality assurance programs, complete compliance with freeze dried food standards, and innovative technologies that include everything from sustainable energy practices to automated sanitation and allergen removal.Mercer Foods proudly provides a comprehensive list of products and services for our clients around the world. From total menu and ingredient control to fully customized retail packaging services to a global shipping network that delivers your freeze dried foods reliably and consistently, Mercer Foods spares no expense in ensuring your complete satisfaction.In addition, Mercer Foods employs an integrated research and development team that can help you map out a production and delivery schedule tailored to your specific needs. From organic freeze dried fruits and vegetables to specially prepared and packaged bulk freeze dried foods and ingredients, Mercer utilizes innovative technologies and techniques to ensure prompt and accurate delivery of your product.Quality, sustainability, and service have been the hallmarks of Mercer Foods since our inception, and our ongoing commitment to perfecting our freeze drying process has solidified our reputation as a leader in the freeze dried foods industry.Mercer Foods is an equal opportunity employer. We take pride in the diversity of our staff, and seek diversity in our applicants.","Job Title: Dry Dock WorkerDepartment: Dry DockReports to: Department SupervisorSchedule: Full Time Open availability required, as posted - Overtime as needed.ESSENTIAL DUTIES AND RESPONSIBILITIES: Verifies and keeps records on incoming and outgoing shipments and prepares items for shipment and production by performing the following duties to quality and productivity standards. Other duties may be assigned that pertain to the classification. Knowledge of all duties is to be cross functional but specific duties are assigned within available personnel.Primary duties and responsibilities:Must be able to identify product and multiple lot codes.Compares identifying information and counts, weighs, or measures items of incoming and outgoing product to verify information against bills of lading, orders, or other records.Put away or stage product in assigned location.Load or unload product as required.Determines labeling requirements including but not limited to: Assemble and pack product containers, preparing and affixing labels on packed containers in an accurate manner.Proper operation of equipment to safety and productivity requirements.Packs, examines, routes shipments, rejects damaged items, and records shortages.Maintains inventory of shipping materials and supplies.Must be able to understand quality standards, methods and reporting as required.Notify supervisor / lead of any mechanical or material issues.Proper use of safety devices, such as lock-out, as requiredMaintain a clean, sanitary, and safe work area.Performs other related duties and assignments as required.All dry dock employees are expected to be available to work in all areas of production.Maintain data records on the computer system.Education, prior work experience and specialized skills and knowledge: Must have a minimum of two years forklift experience..  Must understand inventory cycle counting with exposure to RFID. This person has a demonstrated ability to operate the Microsoft office suite. The position will be required to perform basic math and demonstrate a basic ability to communicate in the English language, this includes the ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals. Demonstrated ability to communicate orally or in written form effectively with co-workers, departments, and carriers. Be comfortable utilizing multiple computer systems.Physical environment/working conditions: This position is in a manufacturing environment and could involve sitting, standing, walking and lifting for long periods of time throughout the day. Unrestricted visual and audio abilities are required for the safety of all employees. Must be able to lift up to 40 pounds without restriction.Equipment and Machinery used: Must be able to become certified and maintain certification through an OSHA approved forkliftOther (e.g., customer contact or access to confidential information): Must be able to work as part of a team, in extreme temperatures, and various shifts. ",Full-time,Associate,High School or equivalent,Food Production,Manufacturing,0
1387,Graduate Summer Work Program -- Limited Openings -- Apply Now,"US, TX, San Antonio",AFSSA,45000,"Argenta Field Solutions values the client, creates income streams for them through our sales mechanism and focuses on quality &amp; numbers rather than numbers alone. While this is paramount to our foundation, the foundation itself is our people. Environment, Training and Compensation are the tripod that support our workforce. The same way we believe in quality of sales, we believe even more in quality of our people's environment, training and compensation.To setup an interview, call our recruiting department Monday-Friday from 9am-5pm @ (361) 400-2907","We are running a summer work program to help new grads gain work experience. Come build your resume with the world's largest telecommunication company. Great opportunity with paid training, which could lead to an Awesome Career.Positions- Sales- Assistant Manager- Market Manager- All positions are full timeCompensation- $45k-$67k per year (entry level)- Weekly pay- Direct deposit- Bonuses (daily, weekly &amp; monthly)",Full-time,Entry level,Unspecified,Consumer Services,Sales,0
1390,Sales Development Rep,"US, NY, New York",Sales,40000,"As a growing and successful startup, Conversocial is a great place to work for ambitious individuals.We build a market leading social customer service solution, and we need even more great people to help us push that position even further. You’ll get the opportunity to work in an exciting new market, where we’re helping companies to understand the solution to their problems and are changing the way they interact with consumers.We have a trusting, hands-off management style, which is suited for people that are self-motivated.Our employees have the opportunity for independence and responsibility over their own projects, but we provide all the support and training they need to get there and to develop their careers.At Conversocial we like to balance work and play.We eat lunch together everyday (a company perk) and all enjoy a Friday treat of cake and few drinks. Our close-knit team is very sociable, which makes the Conversocial office a relaxed, fun and supportive working environment.","Conversocial is a cloud solution that enables businesses to manage social media as a large-scale customer service channel. Hundreds of major brands use Conversocial in the contact center to handle high-volume customer service through social media in the most efficient and secure way possible. Our customers include Coach, Hertz, Barclaycard, Tesco, Medtronic, Net-A-Porter, Bank of Montreal and many more.Sales Development Reps are responsible for prospecting new enterprise sales opportunities and qualifying inbound leads. The role is key to our sales and marketing efforts, and is an ideal entry point to a career in technology sales.Core ResponsibilitiesDevelop leads and build a sales pipeline, working alongside experienced account directorsCreate and prioritize strategic target account lists within a defined territoryConduct high level conversations with executives in prospect accountsProspect for interest and start the sales process using question-based selling techniquesActively engage with prospects/clients in social media (e.g. Twitter, blogs, etc)Work closely with sales and marketing groups on focused campaignsUpdate company CRM to reflect daily activities",Full-time,Entry level,Bachelor's Degree,Computer Software,Sales,0
1393,Sales Trainee,"DE, BE, Berlin",Impact,9600,"WorkHub, a Berlin-based technology startup, is innovating at the intersection of mobile technology and digital outsourcing. WorkHub takes freelance work to the next level by building an on-demand cloud working service that distributes tasks to people around the world, anytime, anywhere, on any device.",You acquire new Customer AccountsYou manage existing Customer AccountsYou manage your own Sales Pipeline and measure conversion rates and sales cyclesYou improve your sales pitches based on our performance reports and optimize accordinglyYou support our Account Managers and the Chief Sales Officer with various tasksYou build and nurture strong relationships with our PartnersYou support the marketing team with our online marketing channels,Full-time,Entry level,High School or equivalent,Internet,Sales,0
1394,Sales Manager,"US, MA, Wilmington",Sales,75000,"We are a family run business that has been in operation for nearly 40 years.  We value long term relationships and want to have team members that can be treated like family.  We are strong believers in a deal is a deal and we don't change pay plans after you crush it!  We want our teammates to enjoy mutual success.  We put the dealership first in everything we do.  That means above the ownership or the associates.  The needs of the Team are number one!We are located in Wilmington MA -- 15 miles from downtown Boston.  It's a great town with great people we have a primary market area of about 255,000 people.  This means plenty of people to help with their transportation needs.","Bill Dube Hyundai in Wilmington MA just outside of Boston, is a growing Hyundai dealer that is building a team of driven professionals. Our desired culture is about: constant personal and professional growth; a climate of accountability that directly challenges drama, entitlement and gossip; rewards enthusiasm, integrity and team play; where managers take responsibility for daily training and coaching; and where we all take responsibility for learning new things and improving our professional skills.We value people that posses the following traits:Positive energyIntegrityHonestyCompassionLoyaltyStrong sense of teamDesire to not just satisfy, but delight coworkers and customersHigh levels of enthusiasmDesire to constantly improveHigh StandardsDesire to achieve the next levelWhat we don’t value:Teammates who feel entitledTeammates who thrive on dramaTeammates who like to gossipTeammates who are not reliable",Full-time,Mid-Senior level,Associate Degree,Automotive,Sales,0
1411,Front End Developer,"US, NY, New York",User Experience,85,"BlueLine Grid is transforming government communications. At a time when government employees are increasingly being asked to use their personal mobile devices for work, BlueLine Grid allows users to find each other by area, agency, proximity or specialty and connect and collaborate one-to-one or in groups.There are 22 million public employees in the U.S (15% of the total workforce) yet there is no comprehensive registry and no simple way for them to connect. BlueLine Grid is the first company to go Over-The-Top with free, simple connection tools in the mobile government space that integrate unified communication capabilities with a comprehensive and pre-populated directory of the U.S. public workforce.","This is a full time, on-location position in New York City. Please no recruiters.Bratton Technologies, a venture-backed startup seeks a Front End Developer to join our UX Team in creating responsive and elegant web UI's for products and prototypes for our innovative professional network for law enforcement called BlueLine. We're looking for an detail-oriented critical thinker - a problem solver who communicates and collaborates effortlessly. This is an incredible opportunity to join our small, growing team in the transformation of police collaboration in the United States and throughout the world.You'll report to the Chief Experience Officer, but work with the entire team.Salary is commensurate with capabilities and experience.",Full-time,Mid-Senior level,Unspecified,Internet,Design,0
1437,Physical Occupational Therapy Case Manager-Field Clinician (Home Health) ,"US, CA, Monterey",Physical Therapy,0,"Mission StatementGood Life Home Care is committed to providing superior, safe and cost-effective home health services, so our patients can live as independently as possible. We also seek to coordinate community and agency resources, and to decrease the burdens of illness and the unnecessary duplication of services, resulting in lifestyle improvements and positive outcomes for our patients.Our VisionGood Life Home Care is committed to serving the home health needs of every community in the counties in which we are licensed. We emphasize honor, professionalism and excellence.Our Goals• To be the premier home health agency in every market we serve.• To treat every patient with dignity and respect.• To remain a family-oriented operation.• To continually grow in size and scope, while maintaining a high standard of quality.","Come explore the exciting opportunity to contribute within a growing organization! Good Life Home Care is celebrating over 4 years of service and has an immediate opening. We currently have an excellent opportunity for a PT/OT Case Manager.The PT/OT Case Manager in a home-care setting administers skilled nursing care to patients on an intermittent basis in their place of residence. Your work will be performed in accordance with physician orders and plan of care under the direction and supervision of the Director of Patient Services and/or Nursing Supervisor.This position will cover the Monterey and/or Watsonville areas.    GENERAL RESPONSIBILITIESProvide patient care visits, evaluations and case management oversight on an hourly basisWork with administrative and supervisory personnel regarding PT/OT visits to assure high quality and proper follow-up patient careParticipate in case conferences to ensure optimum communication within and between departments and to discuss active issuesReport all events that vary from policies and procedures and/or standards care to your immediate SupervisorFollow physician orders for treatmentsThis individual also performs other duties as assigned consistent with skills and training for this position in alignment with the goals and mission of Good Life Home Care.",Part-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0
1449,Finance Manager,"GB, LND, London",Accounts,22000,"Wedo is a collection of niched e-commerce stores which aim to be the first destination for online shoppers buying in the various niches that we operate in. Due to our continued commitment to the best, we are now looking for more people to join our lively team at a very exciting time. As we continue to grow we're looking for incredibly passionate people who want to be part of something amazing. We’re looking for outgoing, positive and driven individuals who want to make a difference where they work. We can teach you a lot of what you need to know about the job. What we can’t teach you is aptitude and attitude, two of the most important aspects to succeeding at Wedo. If you’d like to work in an environment that feels friendly and welcoming, professional, highly interactive and ready to hear your ideas, then read on.","About us:Wedo is a curated collection of niched e-commerce stores which aim to be the first destination for online shoppers buying in the various niches that we operate in.Our team is made up of experienced professionals from the online retail and Internet sectors. We’re bringing the best of both worlds to combine the power of technology with the strength of our business philosophy and experience. We want and need people who are passionate about developing not just the business but themselves. By developing yourself you are already half way to helping the business develop as well. If you are constantly striving to better yourself and are looking for a company where this is actively encouraged, then you’re in the right place.About the role:This role is suitable for someone who has 3-5 years experience in a finance role and who is willing to take on more responsibility as the company grows. The Finance Manager will be reporting to the Finance Director and will be managing the Finance Assistant and the Finance Intern.This is a full time role, working hours are Mon-Fri 09:00-18:00. Duties:To oversee Finance team, ensuring all tasks are completed and to compile all Financial reporting.Sagepay ReconciliationsPaypal ReconciliationsBank ReconciliationsWeekly KPI'sCredit Card ReconciliationsChase Supplier CreditsCalculate store commissionsMonthly AccrualsMonthly Carriage SplitsOversee Accounts PayableOversee Credit NotesWithdraw money from PaypalReview all ChargebacksLiase with suppliers about credit termsReview the bank accounts to ensure there is always sufficient money for what needs to be paid",Full-time,Mid-Senior level,Bachelor's Degree,Internet,Finance,0
1451,Internship (Medical Affairs),"GR, , ",Medical,4500,"This initiative is being led by a very talented, energetic and inspirational group of young Greek leaders called “Global Shapers Athens Hub”, under the umbrella of the World Economic Forum.  In a nutshell, the objective is for the corporate-business community to align with Global Shapers in order to develop and implement an internship program, whereby companies commit to taking on board selected talented graduates for 6-month internships – in order to offer  work experience / skill building and ultimately support the development of young talent to enter the local market.","This is a 6-month full-time paid internship position in some of the largest corporations in Greece. The internship program includes both classroom and on the job training, team projects, networking with some of the most profound business leaders in the Greek job market, and community service in Non-Governmental Organizations. For more information: #URL_3a192fa44cc0cec563d796313a1fbbbaf5543bb685aa98e0143dc082adc1ab4f# Candidates applying to more than one job families, will be matched with the job family most relevant to their studies/profile.",Full-time,Internship,Bachelor's Degree,Pharmaceuticals,Other,0
1463,Sales Representative,"US, GA, Atlanta",Sales,25000,"Envision Remodeling Co. is a Home Remodeling Contractor company  located in the greater Michigan area. We have been  providing homeowners with the highest-quality custom home remodeling  services and home renovation services. We've built our business around  four core principals: integrity, honesty, workmanship and our guarantee  of excellence. It has been a pleasure to earn our reputation the  old-fashioned way; through hard work, honesty and a steadfast commitment to providing a quality product for our customers.Much of what customers experience as part of our custom home remodeling  service is based on many years of our renovation contractor experience. From a consistently clean job site, to creative and pragmatic home  remodeling solutions for even the most challenging situations, to  meeting and exceeding our homeowners expectations, we are proud of our  results, our ethics and our professionalism.We are highly skilled home remodeling craftsmen, trained and experienced well beyond industry standards. We are experts on using the most  efficient construction methods to help our customers feel more  comfortable in their homes during construction.  We help our customer  select the best most durable home remodeling products available on the  market and we pre-plan the entire home remodeling project in advance.Envision Remodeling Co. has been providing homeowners and business  owners with creative, reliable design build, and general contracting  services since 1991.  Our unwavering commitment to integrity and  excellence give our customers a completely different experience than  most homeowners are used to. When you partner with Envision Remodeling Co., you receive  impeccable attention to detail, premium service, and a safe place to  have your dreams realized. We offer affordable, quality commercial and  residential home renovation solutions. We've built our reputation one  project at a time! When you need to add a new addition to your home or renovate your place of  business, Envision Remodeling Co. is the company to choose for all your  design build work. Each home renovation or home repair project we do,  offers a combination of  quality building material and superior design; where every detail is  meticulously crafted and every enhancement you select is seamlessly  added to create a customized new living space that is uniquely yours.Our ultimate goal is for you to be in your living space  or work space and feel  right at home.  We have hundreds of satisfied customers that refer us to their friends and family time and time again. So let Envision Remodeling Co. make your remodeling dreams come true!","Are you a driven person who loves to set and accomplish goals? If so, you may be a good fit for out Sales Representative position. Our Sales Representatives speak with customers who may be interested in a home or business remodel, close the sale, and then transfers the customer to our Appointment Setters. This is a telecommute position, so you must be comfortable working from home with little supervision.",Full-time,Entry level,High School or equivalent,Construction,Sales,0
1470,Marketing Communications/Content Manager (remote/telecommute),"US, , ",Marketing,70000,"InVision is a venture-backed startup working to create the world's best design communication and collaboration platform.We're passionate about finding ways to improve how companies think about their design process. That's why designers at so many of the worlds most beloved startups, agencies and corporations use InVision every day.","InVision is the world’s leading design collaboration platform.We enable companies of all sizes to discover the power of design-driven product development.  That’s why designers, product managers, marketers and other stakeholders at so many of the world's most loved designers, agencies, &amp; corporations use InVision every day, including Zappos, Evernote, AirBnB, and Yammer.Built to foster collaboration and iteration, InVision helps our clients design, review and user-test a product before writing a single line of code, with tools for design prototyping, feedback, task management and version control.We’re well-funded and venture-backed by prominent investors including FirstMark Capital and Tiger Global Management.We're looking for a Marketing Communications Manager to manage all of our online communications efforts and establish InVision as a thought leader in the product design space.",Full-time,Mid-Senior level,Bachelor's Degree,Internet,Marketing,0
1471,Digital Media Supervisor,"US, CA, Los Angeles",Media,65000,"Searching for the perfect creative agent or mission? Inside Job Agency finds out the details you need to know in order to complete your search.Big picture expertise, and detailed insight are just some of the services Inside Job Agency provides having been fortunate enough to partner on successful recruiting missions nearly within creative, marketing and technology for over 13 years. We specialize in the advertising, brand, technology/consumer digital and marketing space in Los Angeles. Knowing what it takes to make a digital product, campaign, brand or the technology that runs it, from a 360 perspective we can quickly team build for special ops or full time roles.Please reach out to us if you are looking to make a great career move, find amazing talent to tackle your companies’ objectives, or if you just want to network with someone who has a great overview of the job market!Areas of Expertise: art direction, creative direction, design, copy, marketing, IA, UX, product development and management, mobile design and development, application and web development, UI and front end developers, software engineers, QA, business analysts, content strategists, account planners, branding, account service, media, motion graphics and other fine areas of the trade.","The following are the responsibilities and duties of the Digital Media Supervisor. This is not an all-inclusive list andwill vary by account assignment and seniority.Role:A Digital Supervisor is the day-to-day liaison between the client and the media community. His/her role is toensure the client’s media plans are developed and implemented.Management:Supervise the Planner(s) and Assistant Planner(s) on day-to-day activities making sure that their growth as digitalmedia professionals is of utmost importanceTrain Planner and Assistant Planner in all aspects of the strategy and investment process, as well as the client(s)business and industryManage the flow of client media-related issues. Create solutions and resolve problemsManage solid client relationshipsEstablish timetables for development of plansInterview applicants for junior-level positionsMedia Strategy:InsightsIntegrate strategic planning philosophy into communication plan developmentHelp develop planning objectives and strategies that coincide with the client’s marketing directionContinually seek a consumer-centric view in all strategic thinkingIdeas:Supervise implementation of integrating offerings and toolsIdentify opportunities for cross-platform deals, when appropriateProvide point-of-view on various media in the marketplaceCreate media plan recommendations and alternativesSelect media vehicles and determine schedulingPromote creative, innovative approaches to strategically reach the target consumerUnderstand client’s business, specifically direct response focus if applicableAnalyze competitive activity in the marketplaceResults:Present media plans to clientsOversee the execution of a media plan",Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
1503,Accounting Product Support Representative,"US, MI, Ann Arbor",Support,30000,"ParishSOFT LLC (formerly Parish Systems, Inc.) was founded in 1998 by Fr. David Rosenberg, a technologist, catechist, music minister, and former deacon. Bill Pressprich joined the company in 2002 as president and CEO, bringing many years of executive experience with software companies as well as service to the Church.Today, ParishSOFT's mobile church management and accounting systems are used by parishes in nearly every U.S. arch/diocese and in more than 84 arch/diocesan offices. ParishSOFT uses Agile development methods and releases enhanced software and web solutions updates throughout the year. New functionality, enhancements, and new products are driven largely by customer input.","Exciting opportunity to work with fast paced company that provides church management software and services to 14,000 churches and faith-based organizations across the country.We are seeking an energetic, service-oriented person to support our accounting software product.. We're looking for team players who never stop learning and thrive in a highly-energized, problem-solving environment.Company offers a business casual environment and a great Ann Arbor location.Job Summary: This position is in our Accounting Support team- we are a highly collaborative group, and our goal is to help our customers be successful using our accounting software. We don't do their books, we just make sure their software is working properly.  This is done primarily via phone and email support directly interacting with end users, and offers future opportunities to do web training, onsite training, and back-end data manipulation. ",Full-time,Entry level,Associate Degree,Information Technology and Services,Customer Service,0
1504,Brazil General Manager,"BR, SP, Sao Paulo",Operations,15000,"We’re always looking for highly motivated “founder-types” to join us as we grow. Here’s what you need to know.Our Core Values:Every member of our team brings something unique to the table, but we share the same values:Use your intelligence without arroganceTake initiative, and execute tenaciouslyPut the team’s needs above your ownRespect customers, partners, investors, and co-workersFocus on results, but never compromise on qualityLive to learn, and share what you discoverBe honest, be transparent, and be goodNever, ever give up!Things to Consider:1. We are hiring for entrepreneurial positions, at an entrepreneurial company. This means you’ll need to be resourceful and creative, while also following the processes that will allow us to scale quickly.2. We hire for culture and greatness. We are looking for well-rounded people who are willing to commit wholeheartedly to our cause for the next couple of years and grow alongside the company.3. This is a massive opportunity for the right person. Startup life can be a rollercoaster, but we are led by a team of experienced entrepreneurs who have built and sold multiple companies. The opportunity for upward mobility at The Mobile Majority is tremendous, but only if you’re willing to put forth the effort.Culture and Benefits:It’s no secret that we work hard, but we also strive to create an office environment where the lines between work and play are blurred. This means we offer great perks, to help keep our team healthy, productive, and happy:Full medical, dental, and chiropractic coverage – even acupuncture.Daily company lunches catered in – plus snacks and drinks for days!Frequent team bonding events and company outings (including the occasional beach day!)Unlimited paid vacation time – because we trust you to hold yourself accountable.Gym membership with access to facilities all over LA.Flexible work hours – we know 9am isn’t for everyone.Stock options – if you’ve been with us for a year or more, we want you to experience the pride and rewards of ownership.A referral bonus program.Last, but definitely not least – dogs in the office! Bring your own furry friend, or feel free to cuddle with one of the The Mobile Majority pups.","Responsibilities:Recruit and take candidates through the interview processManage the office - supplies, snacks, maintenance, etc.Schedule meetings and manage travelSet up and conduct daily standup with our other offices in the United StatesEnsure that all aspects of clerical functions, appointment scheduling, billing, book-keeping and patient flow are done efficiently and effectivelyCollaborate with the head of the organization as well as with all other personnelWork with management team to prepare annual capital and operating budgetsCreation and maintenance of cash flow forecastsMonth-end closing activities and preparation of financial satements in accordance with GAAP, preparing the Board package, management reports, or other ad hoc reportingTimely filing of sales/use taxes, property taxes, franchise taxes, GSA taxesManagement of payable and receivables, including collection activities - sometimes in a hands-on way and other times via management of staffParticipate in management meetingsCommunication with other Executives on financial issuesOperation of accounting softwareDevelopment and tracking of financial policies and proceduresOversight of facility issues such as building lease and parking issues, general office equipment, facility security, and corporate insuranceCoordination of annual auditCoordination with external preparer for timely filing of corporate returnsMaintain capitalization table to include stock option grants and stock compensation calculations and convertible debt schedulesCoordinate with outside legal counsel on promissory notes, capital and building leases or other business agreements when necessaryPayroll processing and oversight of employee benefit programs, including health, dental, life and 401k plan administrationProvide support for funding or M&amp;A activities (due diligence, financial modeling, documentation review, data mining, etc.)Hiring, training and management of finance and accounting staffThis position offers a competitive starting base salary with huge bonus potential, stock options and an amazing opportunity to work with experienced entrepreneurs building a fun and fast paced company.ABOUT USThe Mobile Majority is a rapidly growing ad tech startup based in Santa Monica, CA, with offices in New York City, San Francisco, Chicago, Sao Paolo and Ho Chi Min City. We have been honored as the 'Best Creative Technology' by the American Association of Advertising Agencies and won 'Best Series A' By the Los Angeles Venture Association.  We are led by a team of experienced serial entrepreneurs, who are seeking intelligent, optimistic team members that love to learn and grow as people. Our patent-pending technology solves the problems that have prevented brands from real investment in mobile advertising: universal delivery across SDKs, a creative canvas, and 1 to 1 audience matching.Our goal is to be the next multi-billion dollar ad-tech company.We have raised $21M, and do business with some of the biggest brands in the world (State Farm Insurance, Hershey’s, Clorox and Time Warner Cable, to name a few). Every member of our team brings something unique to the table, but we share the same set of core values:•    Use your intelligence without arrogance•    Take initiative, and execute tenaciously•    Put the team’s needs above your own•    Respect customers, partners, investors and co-workers•    Focus on results, but never compromise on quality•    Live to learn, and share what you discover•    Be honest, be transparent, and be good•    Never, ever give up!If you are a good fit, you will be joining a team of passionate, happy entrepreneurs that are looking to build a new kind of company where people are happy and thriving.  You will bea an early employee of one of the fastest growing companies in technology.Things to Consider:1. We are hiring for entrepreneurial positions, at an entrepreneurial company. This means you need to be resourceful and creative, while also following the processes that will allow us to scale quickly.2. We hire for culture and greatness. We are looking for well-rounded people who are willing to commit wholeheartedly to our cause for the next couple of years and grow alongside the company.3. This is a massive opportunity for the right person. Startup life can be a rollercoaster, but we are led by a team of experienced entrepreneurs who have built and sold multiple companies. The opportunity for upward mobility at The Mobile Majority is tremendous, but only if you’re willing to put forth the effort. ",Full-time,Associate,Bachelor's Degree,Accounting,Accounting/Auditing,0
1508,Project Administrator,"US, MI, Detroit",Marketing,21120,"Ideal CRM is a sales consulting firm focused on Customer Relationship Management. We specialize in building and implementing high performing sales teams to increase productivity and profitability for businesses organizations. With more than 50 years of experience, our team has developed a proven and repeatable system supported by industry leading technology to improve profitability and effectiveness.Our ApproachWe invest time to get to know the ins and outs of your business before designing a program that aligns with your vision and objectives to ensure success.ASSESS: We invest time to get to know your business to align your requirements with your goalsIMPLEMENT: We develop and implement a custom training program to take your sales, marketing, and customer service team to the next level.EVALUATE: Performance objectives and goals are evaluated to ensure success. ","Customer Relationship Management specialist company looking to hire a Project Administrator. This is a Telecommute position, and Candidates must be comfortable working from their homes,.Location: Virtual (From your Home) Responsibilities:Planning the financial budget and necessary resources for each projectCoordinating with his/her team members frequently for updates regarding the work in progressMonitoring the progress of the project and acknowledging team suggestionsMeeting the client's deadlines",Full-time,Entry level,High School or equivalent,Marketing and Advertising,Marketing,0
1513,Risk Officer,"GB, GBN, London",Financial,40000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","As a Risk Officer, you will be responsible for assessing and managing the risks involved in providing funding to SMEs. You will be involved in setting and monitoring credit limits, performing suitability and anti-fraud checks on SME applicants as well as contribute to the evolution of the company’s risk management strategy. A successful applicant will have a keen interest in risk management within finance, strong communication skills and ideally 2-3 years’ experience in a relevant role within risk assessment, portfolio risk management, banking or other areas of finance.Responsibilities:Onboarding &amp; diligence: process SME applications for funding, assess suitability of the applicant for the MarketInvoice product, make accept or decline decisions based on identified risksPortfolio management: set credit limits, pricing and loan-to-value rates based on relative riskiness or SME applicants. Monitor the riskiness of the portfolio based on reported events and evolution of credit scores of SME clientsAnti-fraud: identify potential fraud risks and perform verification and other spot-checks to mitigate these risks. Use judgement to determine the desired depth of anti-fraud investigations for a range of clientsProduct / Strategy: contribute to the risk management strategy, operation and fine-tuning of the MarketInvoice scoring system, help to create a scalable system of risk management and anti-fraud measures",Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0
1515,Consultant,"US, CA, Los Angeles",Marketing,48000,"Ideal CRM is a sales consulting firm focused on Customer Relationship Management. We specialize in building and implementing high performing sales teams to increase productivity and profitability for businesses organizations. With more than 50 years of experience, our team has developed a proven and repeatable system supported by industry leading technology to improve profitability and effectiveness.Our ApproachWe invest time to get to know the ins and outs of your business before designing a program that aligns with your vision and objectives to ensure success.ASSESS: We invest time to get to know your business to align your requirements with your goalsIMPLEMENT: We develop and implement a custom training program to take your sales, marketing, and customer service team to the next level.EVALUATE: Performance objectives and goals are evaluated to ensure success. ","Location: Virtual (From your Home) Responsibilities:Researching and analyzing basic and complex issues surrounding the client's sales process, systems, strategy, resources, tools, compensation, marketing, business development, and other areas related to the client's sales operationsConducting organizational audits and assessments to evaluate and implement procedures to optimize the client's sales forceMaking recommendations to improve sales processes, efficiency and practicesSimulating and testing process improvementsCommunicating changes and providing high-level training to impacted business units",Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
1545,Loan Officer,"US, NJ, Trenton",Lending,40000,"The Intersect Fund is a nonprofit organization that empowers entrepreneurs to build strong businesses so they can generate income, build assets, and spark dramatic social change in their communities.We have offices in Newark, NJ, New Brunswick, NJ, and San Francisco, CA.","Position Summary:The Intersect Fund is seeking a qualified Microfinance Loan Officer that will work independently to perform outside sales, build excellent customer relationships and generate qualified loan applications to meet or exceed monthly sales quotas for business loans up to $25,000. Qualified candidates will have demonstrated the ability for sales to small business, covering a geographic territory, establishing a presence within a community to generate referrals, and sourcing leads that meet The Intersect Fund’s lending criteria and mission. The Intersect Fund’s target market is focused on informal cash‐based businesses with no credit and limited documentation who are unable to obtain business financing elsewhere.This position reports to the Vice President of the Lending Team and works closely with the lending team to meet loan and portfolio management metrics and team objectives related to impact, portfolio quality, and strong team dynamic.Key Responsibilities:Work independently in the field in target neighborhoods to build alliances and referral base among small businesses, business associations, community partners and participating in community eventsMeet with small businesses at their place of business to generate qualified loan applications that meet lending criteria and The Intersect Fund’s missionEfficiently process complete application packages, including screening packages against product guidelines and required documents, entering and processing loans in system, gathering all required documents, and closing out applications (approvals or declines) within target timeframeProvide technical assistance to business owners after a review of loan application, tax returns, bank statements, references, credit report, employment and income verification, and collateralMake decisive loan recommendations and clearly articulate and make a compelling case for loan decision to appropriate approval authoritiesMonitor and collect on portfolio of loans within defined territory, including visiting clients regularlyProvide excellent customer service and fast turn‐around time to build client trust and The Intersect Fund’s brand and reputation",Full-time,Not Applicable,Unspecified,Financial Services,Sales,0
